1,1757405383000,21,11
2,1757405383000,22,12
3,1757405383000,23,13
4,1757405383000,24,14
5,1757405383000,25,15
6,1757405383000,26,16
7,1757405383000,27,17
8,1757405383000,28,18,5
9,1757405383000,29,19,8
1,1757405384000,21,11
2,1757405384000,22,12
3,1757405384000,23,13
4,1757405384000,24,14
5,1757405384000,25,15
6,1757405384000,26,16
7,1757405384000,27,17
8,1757405384000,28,18,5
9,1757405384000,29,19,8
1,1757405385000,21,11
2,1757405385000,22,12
3,1757405385000,23,13
4,1757405385000,24,14
5,1757405385000,25,15
6,1757405385000,26,16
7,1757405385000,27,17
8,1757405385000,28,18,5
9,1757405385000,29,19,8
1,1757405386000,21,11
2,1757405386000,22,12
3,1757405386000,23,13
4,1757405386000,24,14
5,1757405386000,25,15
6,1757405386000,26,16
7,1757405386000,27,17
8,1757405386000,28,18,5
9,1757405386000,29,19,8
1,1757405387000,21,11
2,1757405387000,22,12
3,1757405387000,23,13
4,1757405387000,24,14
5,1757405387000,25,15
6,1757405387000,26,16
7,1757405387000,27,17
8,1757405387000,28,18,5
9,1757405387000,29,19,8
1,1757405388000,21,11
2,1757405388000,22,12
3,1757405388000,23,13
4,1757405388000,24,14
5,1757405388000,25,15
6,1757405388000,26,16
7,1757405388000,27,17
8,1757405388000,28,18,5
9,1757405388000,29,19,8
1,1757405389000,21,11
2,1757405389000,22,12
3,1757405389000,23,13
4,1757405389000,24,14
5,1757405389000,25,15
6,1757405389000,26,16
7,1757405389000,27,17
8,1757405389000,28,18,5
9,1757405389000,29,19,8
1,1757405390000,21,11
2,1757405390000,22,12
3,1757405390000,23,13
4,1757405390000,24,14
5,1757405390000,25,15
6,1757405390000,26,16
7,1757405390000,27,17
8,1757405390000,28,18,5
9,1757405390000,29,19,8
1,1757405391000,21,11
2,1757405391000,22,12
3,1757405391000,23,13
4,1757405391000,24,14
5,1757405391000,25,15
6,1757405391000,26,16
7,1757405391000,27,17
8,1757405391000,28,18,5
9,1757405391000,29,19,8
1,1757405392000,21,11
2,1757405392000,22,12
3,1757405392000,23,13
4,1757405392000,24,14
5,1757405392000,25,15
6,1757405392000,26,16
7,1757405392000,27,17
8,1757405392000,28,18,5
9,1757405392000,29,19,8
1,1757405393000,21,11
2,1757405393000,22,12
3,1757405393000,23,13
4,1757405393000,24,14
5,1757405393000,25,15
6,1757405393000,26,16
7,1757405393000,27,17
8,1757405393000,28,18,5
9,1757405393000,29,19,8
1,1757405394000,21,11
2,1757405394000,22,12
3,1757405394000,23,13
4,1757405394000,24,14
5,1757405394000,25,15
6,1757405394000,26,16
7,1757405394000,27,17
8,1757405394000,28,18,5
9,1757405394000,29,19,8
1,1757405395000,21,11
2,1757405395000,22,12
3,1757405395000,23,13
4,1757405395000,24,14
5,1757405395000,25,15
6,1757405395000,26,16
7,1757405395000,27,17
8,1757405395000,28,18,5
9,1757405395000,29,19,8
1,1757405396000,21,11
2,1757405396000,22,12
3,1757405396000,23,13
4,1757405396000,24,14
5,1757405396000,25,15
6,1757405396000,26,16
7,1757405396000,27,17
8,1757405396000,28,18,5
9,1757405396000,29,19,8
1,1757405397000,21,11
2,1757405397000,22,12
3,1757405397000,23,13
4,1757405397000,24,14
5,1757405397000,25,15
6,1757405397000,26,16
7,1757405397000,27,17
8,1757405397000,28,18,5
9,1757405397000,29,19,8
1,1757405398000,21,11
2,1757405398000,22,12
3,1757405398000,23,13
4,1757405398000,24,14
5,1757405398000,25,15
6,1757405398000,26,16
7,1757405398000,27,17
8,1757405398000,28,18,5
9,1757405398000,29,19,8
1,1757405399000,21,11
2,1757405399000,22,12
3,1757405399000,23,13
4,1757405399000,24,14
5,1757405399000,25,15
6,1757405399000,26,16
7,1757405399000,27,17
8,1757405399000,28,18,5
9,1757405399000,29,19,8
1,1757405400000,21,11
2,1757405400000,22,12
3,1757405400000,23,13
4,1757405400000,24,14
5,1757405400000,25,15
6,1757405400000,26,16
7,1757405400000,27,17
8,1757405400000,28,18,5
9,1757405400000,29,19,8
1,1757405401000,21,11
2,1757405401000,22,12
3,1757405401000,23,13
4,1757405401000,24,14
5,1757405401000,25,15
6,1757405401000,26,16
7,1757405401000,27,17
8,1757405401000,28,18,5
9,1757405401000,29,19,8
1,1757405402000,21,11
2,1757405402000,22,12
3,1757405402000,23,13
4,1757405402000,24,14
5,1757405402000,25,15
6,1757405402000,26,16
7,1757405402000,27,17
8,1757405402000,28,18,5
9,1757405402000,29,19,8
1,1757405403000,21,11
2,1757405403000,22,12
3,1757405403000,23,13
4,1757405403000,24,14
5,1757405403000,25,15
6,1757405403000,26,16
7,1757405403000,27,17
8,1757405403000,28,18,5
9,1757405403000,29,19,8
